Date	Target	AI
20210101	12.0	29.0
20210102	19.0	27.0
20210103	26.0	29.0
20210104	11.0	31.0
20210105	12.0	29.0
20210106	10.0	29.0
20210107	13.0	28.0
20210108	19.0	30.0
20210109	26.0	30.0
20210110	38.0	31.0
20210111	47.0	31.0
20210112	31.0	33.0
20210113	26.0	31.0
20210114	50.0	30.0
20210115	12.0	30.0
20210116	11.0	31.0
20210117	8.0	29.0
20210118	22.0	28.0
20210119	28.0	28.0
20210120	27.0	31.0
20210121	17.0	30.0
20210122	5.0	28.0
20210123	15.0	25.0
20210124	24.0	23.0
20210125	32.0	28.0
20210126	16.0	28.0
20210127	9.0	28.0
20210128	13.0	27.0
20210129	31.0	26.0
20210130	21.0	26.0
20210131	18.0	29.0
20210201	15.0	26.0
20210202	24.0	25.0
20210203	14.0	26.0
20210204	12.0	26.0
20210205	82.0	27.0
20210206	24.0	24.0
20210207	16.0	28.0
20210208	18.0	25.0
20210209	36.0	26.0
20210210	63.0	26.0
20210211	73.0	25.0
20210212	60.0	28.0
20210213	89.0	30.0
20210214	13.0	28.0
20210215	10.0	28.0
20210216	13.0	23.0
20210217	19.0	23.0
20210218	30.0	24.0
20210219	54.0	26.0
20210220	26.0	25.0
20210221	12.0	29.0
20210222	20.0	25.0
20210223	25.0	25.0
20210224	34.0	27.0
20210225	10.0	30.0
20210226	10.0	30.0
20210227	22.0	24.0
20210228	3.0	25.0
20210301	16.0	27.0
20210302	31.0	26.0
20210303	23.0	31.0
20210304	23.0	33.0
20210305	6.0	31.0
20210306	24.0	31.0
20210307	23.0	28.0
20210308	47.0	33.0
20210309	99.0	34.0
20210310	58.0	35.0
20210311	29.0	40.0
20210312	56.0	37.0
20210313	69.0	33.0
20210314	20.0	36.0
20210315	15.0	37.0
20210316	21.0	32.0
20210317	47.0	33.0
20210318	11.0	35.0
20210319	43.0	35.0
20210320	18.0	29.0
20210321	25.0	33.0
20210322	38.0	32.0
20210323	14.0	33.0
20210324	68.0	35.0
20210325	55.0	31.0
20210326	6.0	36.0
20210327	65.0	37.0
20210328	46.0	27.0
20210329	18.0	35.0
20210330	17.0	34.0
20210331	12.0	32.0
